paper_idx,title,n_sentences,comp,suff,rank,mae,rmse,stab,time,cpu_time,repeat_time
1,The hallucination problem of Large Language Models (LLMs) significantly limits t,3,0.023731887340545654,-0.006935596466064453,1.0,0.18063804746720402,0.1908054184603499,1.0,0.16693240002496168,1.203125,0.1646912333283884
2,Resume screening is perceived as a particularly suitable task for LLMs given the,7,0.0018674135208129883,-0.004874885082244873,0.9642857142857145,0.11243978428089105,0.12518759419506575,1.0,2.6212455999921076,20.765625,2.412354433326982
3,"If we use LLMs as judges to evaluate the complex decisions of other LLMs, who...",2,0.0735321044921875,0.010199904441833496,0.9999999999999999,0.3465178313077255,0.3499944001981584,0.9999999999999999,0.10474089998751879,0.859375,0.09611893332718562
4,Large language models (LLMs) are transforming human-computer interaction and con,3,0.05499380826950073,0.0005944967269897461,1.0,0.24342099923009722,0.2771407035149056,1.0,0.18881840002723038,1.484375,0.1970955333284413
5,The rapid growth and popularity of large language model (LLM) app stores have cr,4,0.06266641616821289,-0.022564351558685303,1.0,0.2178762765980956,0.252559269670488,1.0,0.37255790003109723,3.03125,0.3296345333219506
6,Autonomous agents powered by large language models (LLMs) enable novel use cases,7,0.025381505489349365,-0.026172101497650146,1.0,0.14049946304747585,0.1794502690200331,1.0,1.9440466000232846,15.5,2.0991765999933705
7,Large Language Models (LLMs) have shown promise in the autonomous driving sector,7,0.014133274555206299,-0.0288122296333313,0.8928571428571429,0.16582083334512907,0.18999376018979003,1.0,2.5769076000433415,20.53125,2.5684920999919996
8,Large language models (LLMs) can label data faster and cheaper than humans for v,4,0.03383803367614746,-0.021623075008392334,1.0,0.2040024068547429,0.23224605733894135,1.0,0.41500799998175353,3.359375,0.35284240000570816
9,Difficult decision-making problems abound in various disciplines and domains. Th,4,0.004891932010650635,0.011471331119537354,1.0,0.08768831226078094,0.10084573943806154,1.0,0.40896869997959584,3.25,0.4266954666624467
10,Recent development in large language models (LLMs) has demonstrated impressive d,4,0.0018836259841918945,-0.008257687091827393,1.0,0.14046505390792416,0.15987112034437356,1.0,0.3701339999679476,2.984375,0.41360430002290133
11,While large language models (LLMs) have shown remarkable capability to generate ,5,0.04238766431808472,-0.011454463005065918,0.9999999999999999,0.21093606100057763,0.24752103188721314,0.9999999999999999,0.9597674999968149,7.65625,0.9509796333344033
12,Large language models (LLMs) are being used in data science code generation task,4,0.026467561721801758,-0.007636308670043945,1.0,0.20129254537723582,0.24474402946437682,1.0,0.4185183000518009,3.25,0.40713479998521507
13,Web browsing agents powered by large language models (LLMs) have shown tremendou,7,0.0035341978073120117,-0.010907292366027832,0.8928571428571429,0.10672537480737757,0.1242620083784685,1.0,2.8519885999849066,22.78125,2.930833199992776
14,Effective feedback is essential for fostering students' success in scientific in,4,0.033877432346343994,0.056871652603149414,1.0,0.14947616785054746,0.1543323885439911,1.0,0.3527782000019215,2.734375,0.34940940000039217
15,LLM test-time compute (or LLM inference) via search has emerged as a promising r,2,0.05573153495788574,-0.017770230770111084,0.9999999999999999,0.4632491171360016,0.512562178977465,0.9999999999999999,0.16195030004018918,1.0625,0.1184406999964267
16,"Background: There is great interest in agentic LLMs, large language models that ",4,0.02455580234527588,-0.010072529315948486,1.0,0.1619341867175843,0.19322499509951155,1.0,0.3854636000469327,3.109375,0.3674951333280963
17,Although instruction-tuned large language models (LLMs) have exhibited remarkabl,2,0.07749927043914795,-0.011921525001525879,0.9999999999999999,0.45528960227966303,0.4646350325699865,0.9999999999999999,0.10222500003874302,0.765625,0.10649366665165871
18,"We study how to watermark LLM outputs, i.e. embedding algorithmically detectable",8,0.004529356956481934,-0.0058397650718688965,0.9285714285714287,0.10038310395509484,0.11675128737702672,1.0,3.6014045999618247,28.5625,3.6463906666613184
19,"Modern IR systems are increasingly tasked with answering complex, multi-faceted ",4,0.004112124443054199,-0.02389383316040039,1.0,0.3058165188065284,0.3247340132124439,1.0,0.4627729000058025,3.59375,0.45056683333435404
20,Codebooks -- documents that operationalize concepts and outline annotation proce,5,-0.004336297512054443,-0.009512662887573242,0.6,0.11068282247365466,0.17475274065989324,0.9999999999999999,0.9833319999743253,7.828125,1.0441630666609854
21,"LLM ensembles are widely used for LLM judges. However, how to estimate their acc",4,-0.0006102919578552246,0.01077967882156372,1.0,0.1073078418762562,0.13878394203623085,1.0,0.5012339999666438,3.96875,0.514835266668039
22,Rapid advancements in large language models (LLMs) have the potential to assist ,4,0.06467807292938232,-0.021932125091552734,1.0,0.22547890390787614,0.2677418686304105,1.0,0.4206794999772683,3.34375,0.4250614999909885
