paper_idx,title,n_sentences,comp,suff,rank,mae,rmse,stab,time,cpu_time,repeat_time
1,An Energy Efficient Multichannel MAC Protocol for Cognitive Radio Ad Hoc   Netwo,8,0.01712554693222046,-0.028873443603515625,0.9285714285714287,0.2223405784834801,0.3306693181422019,1.0,4.057075499964412,32.59375,3.8597778666686886
2,Light amplification by stimulated emission from an optically pumped   molecular ,8,0.03326183557510376,-0.048645734786987305,1.0,0.18989622858420732,0.3169909877944519,1.0,3.6790193000342697,29.421875,3.639850999985356
3,Exact Thermodynamics of a Polymer Confined to a Lattice of Finite Size,10,0.019793450832366943,-0.030586600303649902,0.6969696969696969,0.19580226804250572,0.3037814142474927,0.9595959595959597,2.5196923000039533,20.140625,2.7429343333351426
5,Coherent Nonlinear Single Molecule Microscopy,4,0.036807119846343994,-0.039328157901763916,1.0,0.404196490125022,0.44558324531514876,1.0,0.3559724999940954,2.75,0.3739055666568068
6,Sparse Difference Resultant,6,0.0008819103240966797,-0.03712821006774902,0.942857142857143,0.570562619615432,0.6778402649161711,1.0,1.310223100008443,10.40625,1.291371366668803
7,Detector configuration of KAGRA - the Japanese cryogenic   gravitational-wave de,5,0.028584420680999756,0.005136013031005859,0.9999999999999999,0.3805217531801879,0.44801108406090107,0.9999999999999999,0.6513961000018753,5.25,0.6381453666641997
8,"Thermal conductivity of MgO, MgSiO3 perovskite and post-perovskite in   the Eart",7,-0.0009590387344360352,-0.023559212684631348,0.8571428571428573,0.3982780263785815,0.4692817269543959,1.0,4.036620699975174,32.234375,3.688208500000959
9,Weighted Logics for Nested Words and Algebraic Formal Power Series,6,0.010657012462615967,-0.0034528374671936035,0.8285714285714287,0.4007636768442501,0.4660668495638091,1.0,0.98249779996695,7.71875,1.0114584666638013
10,"Dual electromagnetism: Helicity, spin, momentum, and angular momentum",10,0.004549205303192139,0.0072092413902282715,0.9636363636363635,0.4714128255479686,0.556922788936897,0.9838383838383837,3.92121150001185,31.15625,4.089949266655215
11,The asymptotic behavior of Grassmannian codes,4,0.019583284854888916,-0.009517550468444824,1.0,0.38226895116032283,0.4495450874794407,1.0,0.4637023000395857,3.703125,0.4410157666619246
12,Polarization and spatial coherence of electromagnetic waves in   uncorrelated di,5,0.013164043426513672,-0.02059781551361084,0.9999999999999999,0.42015961544474195,0.4983751725520315,0.9999999999999999,0.7300500000128523,5.75,0.7554800333261179
13,Polymer heat transport enhancement in thermal convection: the case of   Rayleigh,4,0.014077067375183105,-0.012543976306915283,1.0,0.3243142461718517,0.40645399948086586,1.0,0.27349699998740107,2.09375,0.260908099997323
14,Two kinds of Phase transitions in a Voting model,8,0.008987963199615479,0.018436849117279053,0.8333333333333335,0.21463343897990958,0.3370620264828426,1.0,2.144029800023418,17.203125,2.0543382333319946
15,Variations of the Lifshitz-van der Waals force between metals immersed   in liqu,3,0.033467650413513184,-0.011362075805664062,1.0,0.37350352427396133,0.41973209719487276,1.0,0.21383279998553917,1.625,0.2141762666675883
16,Inversive Meadows and Divisive Meadows,9,0.0010360479354858398,-0.04799365997314453,0.9500000000000001,0.28313451557225167,0.4215488623621512,0.9777777777777777,4.165863399975933,33.234375,3.7233759333224348
17,Top-Down Mass Spectrometry Imaging of Intact Proteins by LAESI FT-ICR MS,8,0.015278100967407227,-0.0403406023979187,0.9761904761904763,0.3477563131572271,0.41430407870411146,1.0,3.6922621999983676,29.40625,3.7965142666944303
18,Analysis of Non-Persistent CSMA Protocols with Exponential Backoff   Scheduling,9,0.04546189308166504,-0.06830042600631714,1.0,0.23952101038012083,0.3257528607485429,0.9555555555555556,4.100580200029071,32.53125,4.013717500027269
19,The Parameterised Complexity of Counting Connected Subgraphs and Graph   Motifs,4,0.01645725965499878,-0.006706893444061279,1.0,0.5711640148433009,0.5912977893132491,1.0,0.5303836000384763,4.234375,0.5219243999842244
20,A family of statistical symmetric divergences based on Jensen's   inequality,5,0.022428393363952637,-0.008741319179534912,0.9999999999999999,0.28139828504532594,0.3814039381377486,0.9999999999999999,0.5189822999527678,4.125,0.518161800010906
21,Queuing Methodology Based Power Efficient Routing Protocol for Reliable   Data C,7,0.027271032333374023,0.00013750791549682617,0.8571428571428573,0.31018535765819594,0.39213581651736396,1.0,2.157412300002761,17.203125,2.12137619999703
