paper_idx,title,n_sentences,comp,suff,rank,mae,rmse,stab,time,cpu_time,repeat_time
1,An Energy Efficient Multichannel MAC Protocol for Cognitive Radio Ad Hoc   Netwo,8,0.01712554693222046,-0.028873443603515625,1.0,0.2545453369809281,0.3772590865177414,1.0,0.09515749989077449,0.640625,0.07053149988253911
2,Light amplification by stimulated emission from an optically pumped   molecular ,8,0.03326183557510376,-0.048645734786987305,0.9761904761904763,0.26368792391634593,0.3525572506179807,1.0,0.08108229981735349,0.625,0.07361739998062451
3,Exact Thermodynamics of a Polymer Confined to a Lattice of Finite Size,10,0.019793450832366943,-0.030586600303649902,0.19999999999999998,0.16919691258763153,0.29844362997103724,0.9999999999999999,0.15530880028381944,1.234375,0.1558542667577664
5,Coherent Nonlinear Single Molecule Microscopy,4,0.036807119846343994,-0.039328157901763916,1.0,0.3302181180640835,0.42323966778784927,1.0,0.057661499828100204,0.453125,0.04871303324277202
6,Sparse Difference Resultant,6,0.0008819103240966797,-0.03712821006774902,1.0,0.38305814751101575,0.4624751675468375,1.0,0.07207629969343543,0.625,0.06061276669303576
7,Detector configuration of KAGRA - the Japanese cryogenic   gravitational-wave de,5,0.0158270001411438,0.004296422004699707,0.8999999999999998,0.4033931704718777,0.49978451645356115,0.9999999999999999,0.060538399964571,0.375,0.0592008667687575
8,"Thermal conductivity of MgO, MgSiO3 perovskite and post-perovskite in   the Eart",7,-0.0009590387344360352,-0.023559212684631348,1.0,0.4056462113934075,0.47537884979517253,1.0,0.10965570015832782,0.859375,0.09488310012966394
9,Weighted Logics for Nested Words and Algebraic Formal Power Series,6,0.010657012462615967,-0.0034528374671936035,1.0,0.4124239131944669,0.5066550587633497,1.0,0.05509199993684888,0.5,0.049478600112100445
10,"Dual electromagnetism: Helicity, spin, momentum, and angular momentum",10,0.0006802678108215332,0.017043232917785645,0.8787878787878788,0.4052517413788427,0.4681663586238189,0.9999999999999999,0.22653850028291345,1.65625,0.1875012000091374
11,The asymptotic behavior of Grassmannian codes,4,0.019583284854888916,-0.009517550468444824,0.7999999999999999,0.38603971021003536,0.4645842702351663,1.0,0.056255599949508905,0.5,0.049713933219512306
12,Polarization and spatial coherence of electromagnetic waves in   uncorrelated di,5,0.013164043426513672,-0.02059781551361084,0.9999999999999999,0.42035254572104747,0.48061057712168825,0.9999999999999999,0.06775830034166574,0.625,0.05803223311280211
13,Polymer heat transport enhancement in thermal convection: the case of   Rayleigh,4,0.014077067375183105,-0.012543976306915283,0.7999999999999999,0.3608933196459789,0.43119482924200664,1.0,0.04459079960361123,0.375,0.0443513000694414
14,Two kinds of Phase transitions in a Voting model,8,0.008987963199615479,0.018436849117279053,0.880952380952381,0.32553189302588786,0.41937840135381826,1.0,0.06969110015779734,0.625,0.06318946663911144
15,Variations of the Lifshitz-van der Waals force between metals immersed   in liqu,3,0.033467650413513184,-0.011362075805664062,1.0,0.3587911162718233,0.4399546835834134,1.0,0.05066980002447963,0.453125,0.04943623316163818
16,Inversive Meadows and Divisive Meadows,9,0.0010360479354858398,-0.04799365997314453,0.9333333333333332,0.40470197991002393,0.4669228416637769,1.0,0.19958609994500875,1.546875,0.19188900012522936
17,Top-Down Mass Spectrometry Imaging of Intact Proteins by LAESI FT-ICR MS,8,0.015278100967407227,-0.0403406023979187,0.9285714285714287,0.3904352983654408,0.4404136753811416,1.0,0.08473679982125759,0.625,0.08197993335003655
18,Analysis of Non-Persistent CSMA Protocols with Exponential Backoff   Scheduling,9,0.04546189308166504,-0.06830042600631714,0.9500000000000001,0.20418495710896892,0.3307499257622764,1.0,0.14755130000412464,1.109375,0.1464704998458425
19,The Parameterised Complexity of Counting Connected Subgraphs and Graph   Motifs,4,0.0060773491859436035,-0.004282712936401367,0.7999999999999999,0.4858755873450892,0.5428635020801369,1.0,0.07654879987239838,0.625,0.07416489999741316
20,A family of statistical symmetric divergences based on Jensen's   inequality,5,0.022428393363952637,-0.008741319179534912,0.9999999999999999,0.32053957499146374,0.41985041042920546,0.9999999999999999,0.047924299724400043,0.375,0.048443666814515986
21,Queuing Methodology Based Power Efficient Routing Protocol for Reliable   Data C,7,0.027271032333374023,0.00013750791549682617,0.7500000000000002,0.36944711753545395,0.45130104958146255,1.0,0.07678999984636903,0.546875,0.0707247001118958
22,"Operation of a Thick Gas Electron Multiplier (THGEM) in Ar, Xe and Ar-Xe",4,0.03285592794418335,-0.025167644023895264,1.0,0.2739072144306258,0.38210139998503073,1.0,0.05518919974565506,0.5,0.05441993335261941
23,Hydrodynamic simulations of H entrainment at the top of He-shell flash   convect,12,0.006573736667633057,-0.0313948392868042,0.7740817475138726,0.3047637646111338,0.4051463142579974,1.0,0.19735859986394644,1.625,0.19522686675190926
24,Towards Automated Deduction in Blackmail Case Analysis with Forensic   Lucid,4,0.025918304920196533,-0.03791743516921997,1.0,0.3195819018501639,0.41854117602528035,1.0,0.07245520036667585,0.625,0.06765226662779848
25,Real-time phasefront detector for heterodyne interferometers,4,0.03253549337387085,0.008433997631072998,1.0,0.4892753331704901,0.5145383799498254,1.0,0.05214160028845072,0.375,0.0510433999200662
26,A new parametrizable model of molecular electronic structure,6,0.0036353468894958496,-0.028152644634246826,1.0,0.3784582511134464,0.4821356897910086,1.0,0.10725559992715716,0.859375,0.10540386661887169
27,Formation of Cystine Slipknots in Dimeric Proteins,7,0.0012772679328918457,-0.013663053512573242,1.0,0.44838716515284155,0.49289272242673854,1.0,0.0707048000767827,0.5,0.06644213354835908
28,On the reachability and observability of path and cycle graphs,4,-0.0004917383193969727,-0.01031804084777832,1.0,0.42393881625181384,0.4805842926112902,1.0,0.08639369998127222,0.625,0.08433839989205201
29,On the Cover-Hart Inequality: What's a Sample of Size One Worth?,7,0.011806190013885498,0.013651549816131592,0.5714285714285715,0.2638344425685906,0.37976747426229235,1.0,0.08161159977316856,0.625,0.07269296686475475
30,Improved primary vertex finding for collider detectors,2,0.07355326414108276,-0.05698591470718384,0.9999999999999999,0.5892412070565666,0.6001822970791678,0.9999999999999999,0.046693400014191866,0.375,0.046046866569668055
31,Adaptation of the Modified Adiabatic Approximation to Strong Field   Ionization,4,0.019925832748413086,-0.005755901336669922,1.0,0.4432053053467485,0.5156649586678885,1.0,0.056845400016754866,0.4375,0.0566167333163321
32,A coherent understanding of low-energy nuclear recoils in liquid xenon,7,0.007380008697509766,-0.019957244396209717,1.0,0.5998994590793766,0.65487731389511,1.0,0.0909351003356278,0.8125,0.08201603343089421
33,32 Bin Near-Infrared Time-Multiplexing Detector with Attojoule   Single-Shot Ene,6,0.033970773220062256,-0.0057929158210754395,0.942857142857143,0.31429565530987164,0.4092980781028154,1.0,0.06310259969905019,0.53125,0.06011876665676633
34,A Unified Relevance Retrieval Model by Eliteness Hypothesis,4,0.0031417012214660645,-0.008127987384796143,0.7999999999999999,0.5613350489445361,0.589931533567796,1.0,0.05336340004578233,0.5,0.051360666907082
35,Hole transitions in multiply-charged ions for precision laser   spectroscopy and,3,0.021256625652313232,0.011232316493988037,1.0,0.5113713879173294,0.5295017472716557,1.0,0.052361799869686365,0.484375,0.04618490021675825
36,Training a Feed-forward Neural Network with Artificial Bee Colony Based   Backpr,6,0.0006408095359802246,-0.028466403484344482,0.942857142857143,0.30382203630529164,0.4138725826945354,1.0,0.06946839997544885,0.625,0.07198986659447353
